flowpath,flow_cfs,output_name,source_gpkg,seg_q_hi,run_index,in_span,decision
wb-2427466,50,wsel_wb-2427466_50.tif,hydrualic_results_1919912_wb-2427466_wb-2427467_14-hr_50-cfs_to_11609-cfs.gpkg,11609,1,True,WRITE
wb-2427466,69,wsel_wb-2427466_69.tif,hydrualic_results_1919912_wb-2427466_wb-2427467_14-hr_50-cfs_to_11609-cfs.gpkg,11609,2,True,WRITE
wb-2427466,94,wsel_wb-2427466_94.tif,hydrualic_results_1919912_wb-2427466_wb-2427467_14-hr_50-cfs_to_11609-cfs.gpkg,11609,3,True,WRITE
wb-2427466,128,wsel_wb-2427466_128.tif,hydrualic_results_1919912_wb-2427466_wb-2427467_14-hr_50-cfs_to_11609-cfs.gpkg,11609,4,True,WRITE
wb-2427466,174,wsel_wb-2427466_174.tif,hydrualic_results_1919912_wb-2427466_wb-2427467_14-hr_50-cfs_to_11609-cfs.gpkg,11609,5,True,WRITE
wb-2427466,238,wsel_wb-2427466_238.tif,hydrualic_results_1919912_wb-2427466_wb-2427467_14-hr_50-cfs_to_11609-cfs.gpkg,11609,6,True,WRITE
wb-2427466,325,wsel_wb-2427466_325.tif,hydrualic_results_1919912_wb-2427466_wb-2427467_14-hr_50-cfs_to_11609-cfs.gpkg,11609,7,True,WRITE
wb-2427466,444,wsel_wb-2427466_444.tif,hydrualic_results_1919912_wb-2427466_wb-2427467_14-hr_50-cfs_to_11609-cfs.gpkg,11609,8,True,WRITE
wb-2427466,606,wsel_wb-2427466_606.tif,hydrualic_results_1919912_wb-2427466_wb-2427467_14-hr_50-cfs_to_11609-cfs.gpkg,11609,9,True,WRITE
wb-2427466,827,wsel_wb-2427466_827.tif,hydrualic_results_1919912_wb-2427466_wb-2427467_14-hr_50-cfs_to_11609-cfs.gpkg,11609,10,True,WRITE
wb-2427466,1129,wsel_wb-2427466_1129.tif,hydrualic_results_1919912_wb-2427466_wb-2427467_14-hr_50-cfs_to_11609-cfs.gpkg,11609,11,True,WRITE
wb-2427466,1542,wsel_wb-2427466_1542.tif,hydrualic_results_1919912_wb-2427466_wb-2427467_14-hr_50-cfs_to_11609-cfs.gpkg,11609,12,True,WRITE
wb-2427466,2105,wsel_wb-2427466_2105.tif,hydrualic_results_1919912_wb-2427466_wb-2427467_14-hr_50-cfs_to_11609-cfs.gpkg,11609,13,True,WRITE
wb-2427466,2875,wsel_wb-2427466_2875.tif,hydrualic_results_1919912_wb-2427466_wb-2427467_14-hr_50-cfs_to_11609-cfs.gpkg,11609,14,True,WRITE
wb-2427466,3926,wsel_wb-2427466_3926.tif,hydrualic_results_1919912_wb-2427466_wb-2427467_14-hr_50-cfs_to_11609-cfs.gpkg,11609,15,True,WRITE
wb-2427466,5362,wsel_wb-2427466_5362.tif,hydrualic_results_1919912_wb-2427466_wb-2427467_14-hr_50-cfs_to_11609-cfs.gpkg,11609,16,True,WRITE
wb-2427466,7323,wsel_wb-2427466_7323.tif,hydrualic_results_1919912_wb-2427466_wb-2427467_14-hr_50-cfs_to_11609-cfs.gpkg,11609,17,True,WRITE
wb-2427466,10000,wsel_wb-2427466_10000.tif,hydrualic_results_1919912_wb-2427466_wb-2427467_14-hr_50-cfs_to_11609-cfs.gpkg,11609,18,True,WRITE
wb-2427466,11609,wsel_wb-2427466_11609.tif,hydrualic_results_1919912_wb-2427466_wb-2427467_14-hr_50-cfs_to_11609-cfs.gpkg,11609,19,True,WRITE
wb-2427467,50,wsel_wb-2427467_50.tif,hydrualic_results_1919912_wb-2427466_wb-2427467_14-hr_50-cfs_to_11609-cfs.gpkg,11609,1,True,WRITE
wb-2427467,69,wsel_wb-2427467_69.tif,hydrualic_results_1919912_wb-2427466_wb-2427467_14-hr_50-cfs_to_11609-cfs.gpkg,11609,2,True,WRITE
wb-2427467,94,wsel_wb-2427467_94.tif,hydrualic_results_1919912_wb-2427466_wb-2427467_14-hr_50-cfs_to_11609-cfs.gpkg,11609,3,True,WRITE
wb-2427467,128,wsel_wb-2427467_128.tif,hydrualic_results_1919912_wb-2427466_wb-2427467_14-hr_50-cfs_to_11609-cfs.gpkg,11609,4,True,WRITE
wb-2427467,174,wsel_wb-2427467_174.tif,hydrualic_results_1919912_wb-2427466_wb-2427467_14-hr_50-cfs_to_11609-cfs.gpkg,11609,5,True,WRITE
wb-2427467,238,wsel_wb-2427467_238.tif,hydrualic_results_1919912_wb-2427466_wb-2427467_14-hr_50-cfs_to_11609-cfs.gpkg,11609,6,True,WRITE
wb-2427467,325,wsel_wb-2427467_325.tif,hydrualic_results_1919912_wb-2427466_wb-2427467_14-hr_50-cfs_to_11609-cfs.gpkg,11609,7,True,WRITE
wb-2427467,444,wsel_wb-2427467_444.tif,hydrualic_results_1919912_wb-2427466_wb-2427467_14-hr_50-cfs_to_11609-cfs.gpkg,11609,8,True,WRITE
wb-2427467,606,wsel_wb-2427467_606.tif,hydrualic_results_1919912_wb-2427466_wb-2427467_14-hr_50-cfs_to_11609-cfs.gpkg,11609,9,True,WRITE
wb-2427467,827,wsel_wb-2427467_827.tif,hydrualic_results_1919912_wb-2427466_wb-2427467_14-hr_50-cfs_to_11609-cfs.gpkg,11609,10,True,WRITE
wb-2427467,1129,wsel_wb-2427467_1129.tif,hydrualic_results_1919912_wb-2427466_wb-2427467_14-hr_50-cfs_to_11609-cfs.gpkg,11609,11,True,WRITE
wb-2427467,1542,wsel_wb-2427467_1542.tif,hydrualic_results_1919912_wb-2427466_wb-2427467_14-hr_50-cfs_to_11609-cfs.gpkg,11609,12,True,WRITE
wb-2427467,2105,wsel_wb-2427467_2105.tif,hydrualic_results_1919912_wb-2427466_wb-2427467_14-hr_50-cfs_to_11609-cfs.gpkg,11609,13,True,WRITE
wb-2427467,2875,wsel_wb-2427467_2875.tif,hydrualic_results_1919912_wb-2427466_wb-2427467_14-hr_50-cfs_to_11609-cfs.gpkg,11609,14,True,WRITE
wb-2427467,3926,wsel_wb-2427467_3926.tif,hydrualic_results_1919912_wb-2427466_wb-2427467_14-hr_50-cfs_to_11609-cfs.gpkg,11609,15,True,WRITE
wb-2427467,5362,wsel_wb-2427467_5362.tif,hydrualic_results_1919912_wb-2427466_wb-2427467_14-hr_50-cfs_to_11609-cfs.gpkg,11609,16,True,WRITE
wb-2427467,7323,wsel_wb-2427467_7323.tif,hydrualic_results_1919912_wb-2427466_wb-2427467_14-hr_50-cfs_to_11609-cfs.gpkg,11609,17,True,WRITE
wb-2427467,10000,wsel_wb-2427467_10000.tif,hydrualic_results_1919912_wb-2427466_wb-2427467_14-hr_50-cfs_to_11609-cfs.gpkg,11609,18,True,WRITE
wb-2427467,11609,wsel_wb-2427467_11609.tif,hydrualic_results_1919912_wb-2427466_wb-2427467_14-hr_50-cfs_to_11609-cfs.gpkg,11609,19,True,WRITE
